id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27025,"Elegant, Antique Edwardian Apartment on Castro",115673,Luis,,Castro/Upper Market,37.76297968,-122.4313644,Entire home/apt,175,30,129,3/31/2018,1.27,1,159
27028,Secret Mission Garden,7149,Ivan & Wendy,,Mission,37.76097556,-122.4215808,Private room,199,1,24,8/9/2018,0.59,2,3
32027,Luxury Two Bedroom Two Bath Suite - Lower Level.,137980,Jack,,Castro/Upper Market,37.76125915,-122.4372922,Entire home/apt,325,30,2,10/9/2014,0.04,4,359
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74025451,-122.4125909,Entire home/apt,150,30,93,5/31/2018,0.94,1,236
32802,Garden Flat in Telegraph Hill,141990,Bosco,,North Beach,37.79834682,-122.4046102,Entire home/apt,195,4,29,7/29/2018,0.29,1,0
33577,Potrero Hill Garden Suite,145258,Kepa,,Potrero Hill,37.76514606,-122.3975009,Entire home/apt,230,1,589,8/31/2018,6.49,4,318
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76525619,-122.3973047,Entire home/apt,230,1,543,8/29/2018,5.6,4,324
38607,Beautiful Upscale House Private BR,165574,Jonathan,,Presidio Heights,37.78197462,-122.4580923,Private room,119,3,184,8/21/2018,1.86,3,37
39174,Bette's New Place,127367,Annette,,Noe Valley,37.74830167,-122.424885,Entire home/apt,107,30,20,8/25/2017,0.23,23,365
39418,"Comfortable Home Base, Popular Area",169184,Therese And Nelson,,Bernal Heights,37.74092695,-122.4205486,Entire home/apt,100,30,21,8/5/2017,0.24,2,311
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.76016369,-122.419693,Entire home/apt,131,30,95,5/27/2018,0.98,2,217
41055,Cozy Castro Cottage with Cat,178043,Chas,,Castro/Upper Market,37.76125009,-122.4333547,Entire home/apt,159,4,38,7/8/2018,0.39,2,252
41172,Sue's Place,53314,Sue,,Bernal Heights,37.74082734,-122.4176301,Private room,129,2,206,9/2/2018,2.11,1,320
41399,"Heart of San Francisco, the Mission",180530,Anton,,Mission,37.75610669,-122.4186619,Entire home/apt,290,3,69,5/29/2018,0.97,1,237
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.73556832,-122.4330159,Entire home/apt,126,30,145,1/1/2018,1.48,1,342
41609,Spacious Quiet SF Downtown Retreat,54299,Peter,,Nob Hill,37.79001329,-122.412916,Entire home/apt,170,30,13,3/31/2018,0.14,1,228
42403,Captain's Quarters,127367,Annette,,Bernal Heights,37.7335583,-122.4185132,Entire home/apt,85,30,6,6/1/2017,0.07,23,282
42408,"Crows Nest,Charming Jr. One Bedroom",127367,Annette,,Bernal Heights,37.7340436,-122.4178129,Entire home/apt,85,30,4,4/6/2016,0.05,23,343
42454,Bookish Mission District Flat with backyard,177664,Gerard,,Mission,37.75117094,-122.4132586,Entire home/apt,93,60,9,4/21/2018,0.11,1,125
42577,Garden View Hideaway - PET FRIENDLY,127367,Annette,,Potrero Hill,37.75447178,-122.3881318,Entire home/apt,150,30,2,8/20/2017,0.04,23,357
43732,Argent Alley Panorama,127367,Annette,,Twin Peaks,37.75191264,-122.4438536,Entire home/apt,120,30,5,8/7/2017,0.07,23,365
43778,Lyon's Den,127367,Annette,,Haight Ashbury,37.7727162,-122.4408369,Entire home/apt,120,30,8,7/14/2018,0.08,23,365
44680,Cute Noe/Mission Apartment,196626,Paul,,Mission,37.75120853,-122.421645,Entire home/apt,175,31,3,10/4/2010,0.03,1,70
45299,Private Castro Studio with 2 beds,178043,Chas,,Castro/Upper Market,37.76068104,-122.4333063,Entire home/apt,116,3,110,8/23/2018,1.12,2,17
45956,Private Room  Heart of City --5 Star Rated  1S,202591,Jose,,Western Addition,37.7724811,-122.4301613,Private room,125,3,64,9/3/2018,0.89,3,213
47486,CACTUS COTTAGE  with easy parking/public transp.,215133,Richard,,Ocean View,37.72535732,-122.4686106,Entire home/apt,78,30,28,8/12/2018,0.29,1,261
47682,One-bedroom apt.  Lafayette Park,216682,Jay,,Pacific Heights,37.79250377,-122.4243122,Entire home/apt,120,30,25,9/9/2017,0.26,9,338
51073,In the Heart of San Francisco,234859,Michelle,,South of Market,37.77116329,-122.4219948,Private room,180,2,144,3/5/2018,1.5,2,0
51557,Centrally Located 2 bedroom Victorian,237200,Len,,Western Addition,37.7712146,-122.428339,Entire home/apt,119,30,103,7/20/2018,1.06,1,311
51773,Prime Location - Small Cozy Room,216682,Jay,,Pacific Heights,37.79311697,-122.4259984,Private room,55,30,158,12/14/2017,1.77,9,358
52713,Nob Hill room with a great view,244235,Michael,,Nob Hill,37.79666781,-122.4127171,Private room,99,30,166,8/11/2018,1.72,1,0
54518,Financial District Corporate Condo,255971,Kathy,,Financial District,37.79330087,-122.4007941,Entire home/apt,240,30,16,9/19/2017,0.18,1,206
54634,Studio Apartment Lafayette Park,216682,Jay,,Pacific Heights,37.79166446,-122.4264979,Entire home/apt,115,30,35,8/29/2018,0.36,9,337
55632,"❤️Stunning Luxury Apt, 5 star reviews, Perfect!!!!",262875,Paul & Debbie,,Outer Richmond,37.77959493,-122.4861875,Entire home/apt,130,30,10,5/21/2017,0.11,3,294
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul & Debbie,,Twin Peaks,37.74889402,-122.4447857,Entire home/apt,130,30,26,8/30/2015,0.27,3,287
56200,Furnished Grand Victorian Flat,266101,Christie,,Western Addition,37.78628892,-122.4395658,Private room,132,30,266,7/10/2017,2.77,1,245
56621,Prime Location - Large Private Room,216682,Jay,,Pacific Heights,37.79215669,-122.4245818,Private room,63,30,119,8/4/2018,1.25,9,330
57479,Beautiful Alamo Park flat w deck,210882,Gaurav,,Haight Ashbury,37.77459468,-122.4392288,Entire home/apt,450,31,152,2/25/2018,1.59,1,359
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore,,Bernal Heights,37.74720292,-122.4144302,Entire home/apt,175,31,212,6/12/2018,2.22,1,363
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh,,Mission,37.75762489,-122.4193257,Private room,99,2,97,8/17/2018,1.08,4,334
59314,Cute and Cozy Condo near Moscone,284785,Angela,,South of Market,37.7769789,-122.4104686,Entire home/apt,225,28,126,8/12/2018,1.35,1,323
59344,Private and Quiet Noe Valley Studio,284917,John,,Noe Valley,37.74565481,-122.4286438,Entire home/apt,135,2,272,9/7/2018,2.88,1,256
59381,Ultra Panoramic View Contemporary,285168,Bill,,Russian Hill,37.8031015,-122.4159579,Private room,109,2,203,9/3/2018,2.28,4,45
59702,Garden Cottage Charming!,287136,Toby,,Bernal Heights,37.74208535,-122.414088,Private room,150,2,181,9/3/2018,2.06,1,315
59831,Lovely quiet private room in Home ,287859,Lawrence,,Outer Sunset,37.75673543,-122.4917779,Private room,100,60,1,5/23/2011,0.01,1,365
62519,Lovely Room in Charming Edwardian,304426,Abhay,,Glen Park,37.74182583,-122.4299312,Private room,92,3,35,7/22/2018,0.8,2,0
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnieszka,,Mission,37.762455,-122.4243211,Entire home/apt,1100,3,49,8/14/2018,0.56,1,352
63247,Lovely open plan en-suite bed/bath,290120,Anne,,Mission,37.74925779,-122.4139752,Entire home/apt,166,2,272,8/24/2018,2.89,1,326
63405,Private Suite in Mission,142882,Jessica And Sebouh,,Mission,37.75399609,-122.4177063,Entire home/apt,125,2,196,8/21/2018,2.17,4,330
64165,Great room in a fantastic location!,237691,Regina,,Marina,37.80317361,-122.4287407,Private room,90,30,63,8/11/2018,0.73,1,258
66119,Large garden studio apt. near Golden Gate Park,52862,Joe,,Inner Richmond,37.77797943,-122.4781239,Entire home/apt,100,30,95,2/25/2018,1.1,1,335
66188,Spectacular Sutro Heights,127367,Annette,,Outer Richmond,37.77718605,-122.5090602,Entire home/apt,216,30,12,2/18/2018,0.14,23,312
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Felipe,,Mission,37.75425726,-122.4238661,Entire home/apt,326,31,35,5/31/2018,0.39,1,365
69410,Private 1BR Inner Richmond Apt,347624,Patrick,,Inner Richmond,37.77441984,-122.4631894,Entire home/apt,80,30,49,8/18/2018,0.55,1,342
69549,MISSION Outr BedRm3+Fridge+PvtBath ,305973,Maria,,Excelsior,37.73026802,-122.4264432,Private room,46,30,39,6/1/2018,0.43,14,259
69553,MISSION Outr BedRmU3+MinFridge,305973,Maria,,Excelsior,37.73128161,-122.424784,Private room,44,30,26,9/1/2017,0.29,14,337
69681,Panorama Pacific View - Pet Friendly,127367,Annette,,Seacliff,37.77706907,-122.5092319,Entire home/apt,170,30,7,1/14/2018,0.08,23,365
69685,North Beach Bungalow,127367,Annette,,North Beach,37.80229923,-122.4043655,Entire home/apt,100,30,2,8/14/2012,0.02,23,342
70139,Noe Valley Eco-Escape +Maid Service,354456,Rachel,,Bernal Heights,37.74527429,-122.4242403,Entire home/apt,108,31,10,8/20/2016,0.13,1,250
70284,Monthly Shared Home for Students 1,329072,Darren & Friends,,Chinatown,37.79363898,-122.4063472,Shared room,30,30,12,2/1/2015,0.14,20,259
70753,Friendly Hostel with Community #1,329072,Darren & Friends,,Financial District,37.79446982,-122.4045049,Shared room,45,1,318,8/22/2018,3.43,20,22
71645,Bernal Heights Northslope Studio,367464,Jeff,,Bernal Heights,37.74577519,-122.408412,Private room,109,3,91,8/18/2018,2.97,1,135
71779,スタジオアパート,368770,Fukuko,,Inner Richmond,37.77624827,-122.4646569,Entire home/apt,80,30,2,9/30/2011,0.02,1,344
72365,Cozy loft in the center of SF. F1A,374909,Eric,,Western Addition,37.77518125,-122.4333409,Entire home/apt,100,30,63,6/15/2018,0.69,12,262
72444,Friendly Hostel with Community #2,329072,Darren & Friends,,Financial District,37.79308771,-122.4044315,Shared room,38,1,318,8/28/2018,3.5,20,19
72921,Wonderful private 1 bedroom apt. F6,374909,Eric,,Western Addition,37.77587983,-122.431431,Entire home/apt,110,30,49,5/3/2018,0.53,12,203
73011,"Modern SoMa 1-bdrm, views, balcony",380056,Jason,,South of Market,37.7702573,-122.4185467,Entire home/apt,270,30,30,8/26/2018,0.4,1,361
74451,Views of SF from a nice studio F5,374909,Eric,,Western Addition,37.77387671,-122.4329757,Entire home/apt,125,30,17,7/21/2018,0.21,12,306
74758, Mission Outr Rustic Pvt Bedroom ,305973,Maria,,Excelsior,37.73137082,-122.4253181,Private room,41,30,32,7/11/2018,0.35,14,359
75422,Mission Outr CozyBedRm4+Minfridge,305973,Maria,,Excelsior,37.73127949,-122.424727,Private room,35,30,9,7/9/2018,0.11,14,334
75423,Mission Outr Big Precious Roomy Room,305973,Maria,,Excelsior,37.73048025,-122.4249358,Private room,42,30,32,8/18/2018,0.36,14,365
77175,Private Studio w/ Kitchenette &Bath,395569,Tyler&Shoreh,,Glen Park,37.73838179,-122.4337516,Entire home/apt,135,3,248,9/2/2018,2.74,1,130
77932,"FAB BDRM w/ PrvtBATH, Patio,Fridge",305973,Maria,,Excelsior,37.73133676,-122.4245656,Private room,49,30,20,5/10/2018,0.24,14,321
78651,Heart of the Mission: Hot spot,142882,Jessica And Sebouh,,Mission,37.7561541,-122.4192715,Private room,75,2,65,7/20/2018,0.74,4,346
80394,Hideaway in the Haight,126930,Abla,,Haight Ashbury,37.77065366,-122.4425207,Entire home/apt,140,30,10,5/19/2014,0.18,1,98
81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,439589,Brent,,Western Addition,37.78493236,-122.4461787,Entire home/apt,83,30,11,6/16/2018,0.12,1,191
81256,MISSION Outr BedRM#2 + 2Beds+Fridge,305973,Maria,,Excelsior,37.73152154,-122.4254703,Private room,44,30,19,2/17/2018,0.22,14,365
81535,Heart of San Francisco D-town Loft,442443,John,,Downtown/Civic Center,37.78024683,-122.4130967,Entire home/apt,250,30,14,9/12/2014,0.21,1,263
82919,"Quiet Room in Victorian House, Parking, City View",451471,Rita,,Bernal Heights,37.7342982,-122.4209213,Private room,115,3,355,9/3/2018,3.93,2,54
83257,Charming Lower Pac Hts Private Room,453743,Kimberly,,Western Addition,37.78528002,-122.4435815,Private room,90,1,77,6/18/2018,0.87,1,330
83553,Sutro Garden View,127367,Annette,,Outer Richmond,37.77482554,-122.5095181,Entire home/apt,85,30,6,10/5/2017,0.07,23,273
84777,Upper Castro Studio,463637,John,,Castro/Upper Market,37.75969351,-122.4444487,Entire home/apt,85,4,198,9/3/2018,2.21,2,92
85521,Art-filled Loft in sunny SF Mission,30614,Wendy,,Mission,37.75934916,-122.4084674,Entire home/apt,167,30,8,7/11/2012,0.09,1,164
87640,"Garden Room/En-suite, Private Entrance",479857,Karin,,Noe Valley,37.74549597,-122.4289845,Private room,115,2,308,8/30/2018,3.42,1,78
91957,Sunny SF Flat with 5*s,495796,Joy,,Haight Ashbury,37.76193577,-122.4492861,Entire home/apt,248,30,94,4/9/2018,1.11,1,344
96383,Prime Location Bright Private Room,216682,Jay,,Pacific Heights,37.79175618,-122.4247552,Private room,59,30,129,8/18/2018,1.45,9,261
99094,Spacious Edwardian Flat SF Mission,522225,Marzio,,Mission,37.76808631,-122.4243903,Entire home/apt,185,5,11,8/21/2017,0.12,1,0
100710,Stylish Living in Liberty Hill,528857,Jonathan,,Mission,37.75629056,-122.4251775,Entire home/apt,450,4,10,7/22/2018,0.12,1,51
102213,North Beach Hideaway / Quiet 1 BR,534566,Chris,,Russian Hill,37.80152408,-122.4143079,Entire home/apt,165,30,107,10/24/2016,1.19,1,235
102951,Monthly Shared Home for Students 2,329072,Darren & Friends,,Chinatown,37.79297219,-122.4066364,Shared room,30,30,5,8/18/2018,0.07,20,316
105497,Private Room in San Francisco!,547669,Jamie,,Outer Sunset,37.75753702,-122.4985248,Private room,85,30,3,2/15/2018,0.26,3,364
106025,Gorgeous French Flat near Union Sq.,359813,Annette,,Downtown/Civic Center,37.78534948,-122.415146,Entire home/apt,160,30,59,4/1/2018,0.66,1,330
108535,Canto Uccello,127367,Annette,,Noe Valley,37.74877853,-122.4261578,Entire home/apt,120,30,14,1/5/2018,0.16,23,365
109883,San Francisco Serenity/ lovely home,566147,Adam,,West of Twin Peaks,37.73327365,-122.4643456,Entire home/apt,125,2,300,9/2/2018,3.41,1,298
110825,Charming Cottage with Bay View,568933,Michael,,Bayview,37.71548672,-122.3892242,Entire home/apt,120,30,8,3/16/2017,0.09,1,342
113211,Shelli's Student Home (1 Month Min),576273,Shelli,,Chinatown,37.79294123,-122.4065867,Shared room,30,30,13,2/24/2018,0.18,7,246
114401,Room w/ a View in the Castro!,580606,George,,Castro/Upper Market,37.76101577,-122.4300545,Private room,125,1,456,9/4/2018,5.14,1,311
115242,Tel Hill-1 Bdr (+sep Queen bed alcove) & Parking,582450,Dawn,,North Beach,37.80591172,-122.4082989,Entire home/apt,275,30,4,5/18/2018,0.05,1,254
117955,Stunning 2bd2bt- Roofdeck + HOTTUB!,595792,Sumner,,South of Market,37.77540808,-122.4114224,Entire home/apt,500,3,81,8/5/2018,1.13,1,255
122829,"Ground level Studio Flat, City Center",615007,Dave,,Downtown/Civic Center,37.77380828,-122.4214827,Entire home/apt,75,30,68,8/14/2018,0.77,1,124
124011,Golden Gate Park Family Victorian,617985,Patrick,,Inner Sunset,37.7633399,-122.4694756,Entire home/apt,680,30,8,7/27/2018,0.16,1,0
126046,SF Victorian With Skyline Views ,625762,Ryan And Lindsea,,Haight Ashbury,37.76813476,-122.444936,Entire home/apt,150,30,80,4/29/2018,0.94,2,289
128230,Castro Sanctuary,634277,Maria,,Castro/Upper Market,37.75886842,-122.4356478,Entire home/apt,328,3,132,8/17/2018,1.5,1,190
130775,Emergency happy room-sink  UCSF/USF-San Francisco,21994,Aaron,,Haight Ashbury,37.76608594,-122.451262,Private room,65,32,10,8/6/2017,0.13,9,365
130805,"Hip, Cozy, Creative, Victorian",643713,Sue,,Mission,37.75586066,-122.4209193,Entire home/apt,110,30,61,3/17/2018,0.69,1,328
132441,Calm Cool & Collected in Sunny Bernal Heights,650862,Kurt,,Bernal Heights,37.73973681,-122.4229943,Private room,69,1,94,8/12/2018,1.07,1,145
134015,"Marina location, rooftop GGB views+ private deck!",657837,Heidi,,Marina,37.80356039,-122.4258887,Entire home/apt,275,3,67,8/13/2018,0.77,1,0
137546,Bernal Heights Gem near SF Mission,672097,Christopher 'Scott',,Bernal Heights,37.7470781,-122.4245638,Private room,102,2,200,7/31/2018,2.54,3,102
138592,Modern Architectural Gem - 4 Bdrm,648553,Julie & Brad,,Mission,37.75557545,-122.4247407,Entire home/apt,1200,4,22,8/18/2018,0.26,3,22
138619,North Beach View & Garden 1BD/1BA,644896,Matthew,,North Beach,37.79835394,-122.404197,Entire home/apt,150,2,40,8/28/2018,0.46,1,299
138681,Modern 3 bedroom 2 bath w/parking,513978,Alvaro,,South of Market,37.77284289,-122.3968654,Entire home/apt,500,180,2,8/23/2011,0.02,1,286
138772,Garden Studio,261304,Claire,,Castro/Upper Market,37.75822672,-122.4327331,Private room,150,5,53,8/18/2018,0.61,1,110
140568,Bernal Heights San Francisco Value,684131,Mary,,Bernal Heights,37.73873566,-122.4162381,Private room,90,2,139,8/28/2018,1.6,3,20
142177,"Stylish, Spacious and Quiet Flat!",656263,Noreen,,Outer Richmond,37.78470578,-122.4812497,Entire home/apt,425,3,168,8/27/2018,2,1,37
144043,Cozy Room in Eclectic SF Farmhouse!,698337,Emily,,Bernal Heights,37.74547473,-122.4072588,Private room,98,2,120,1/23/2017,1.36,3,7
144978,Prime Location - Small Basic Room,216682,Jay,,Pacific Heights,37.7933572,-122.4250623,Private room,56,30,115,4/3/2018,1.32,9,331
145886,"Mission Treehouse 2BR, 2BA, Parking",662116,Sara,,Mission,37.76408733,-122.4165897,Entire home/apt,395,30,112,8/12/2017,1.28,7,260
147443,Best Views in all of San Francisco,709325,Mark,,Diamond Heights,37.74598781,-122.4453205,Entire home/apt,230,30,106,8/26/2017,1.21,2,358
148559,"Central Victorian Apartment, 2.5 br",717236,Steven,,Castro/Upper Market,37.76787022,-122.4317222,Entire home/apt,275,4,19,7/30/2018,0.22,1,0
148769,Ground Floor Studio with Garage Parking,709325,Mark,,Twin Peaks,37.75195066,-122.4492788,Entire home/apt,115,30,87,7/7/2018,1.7,2,343
150053,1600 sqft Luxury Apartment,723220,Helena,,South of Market,37.78759759,-122.3922239,Entire home/apt,600,30,12,10/21/2014,0.14,5,365
150347,Cute Private 2Br Apt in the Mission,172182,Brian & Leah,,Mission,37.76202211,-122.4187604,Entire home/apt,179,30,116,8/11/2018,1.33,2,349
150848,SF Urban Haven & Secret Garden,726513,Nancy,,Potrero Hill,37.76199539,-122.3939147,Private room,75,3,194,8/25/2018,2.27,1,85
162934,Designer remodeled studio,778281,Noelle,,Outer Richmond,37.77760606,-122.5037843,Entire home/apt,149,4,188,8/28/2018,2.16,2,304
164207,"Quiet area by subway, private bath",783438,Phil,,West of Twin Peaks,37.74159258,-122.465782,Private room,69,4,311,8/29/2018,3.57,3,131
166199,Castro Cottage w/ Secret Garden,792371,Matt,,Castro/Upper Market,37.7619363,-122.432392,Entire home/apt,220,4,148,7/23/2018,1.73,1,28
166771,DOWNEY STREET - Victorian Flat,794467,Patti,,Haight Ashbury,37.76827235,-122.4467843,Entire home/apt,185,30,150,7/31/2018,1.75,1,191
174679,Comfy room in large sunny flat in the Mission,834580,Christopher,,Mission,37.75452315,-122.4071558,Private room,80,3,4,7/27/2016,0.05,1,51
175090,FINANCIAL DIST: Gino's Cozy Getaway,127367,Annette,,Financial District,37.79018403,-122.4047484,Entire home/apt,110,30,24,7/1/2015,0.28,23,365
175102,FIN. DIST: Mario's Studio Penthouse,127367,Annette,,Financial District,37.7907639,-122.4040296,Entire home/apt,135,30,48,4/29/2018,0.56,23,343
176092,Private Garden Artist Space,841810,Carolyn,,Mission,37.75271742,-122.4093401,Private room,117,3,262,9/1/2017,3.02,1,15
176274,Mission Outr PvtBDRm2D& minifridge,305973,Maria,,Excelsior,37.73142636,-122.42325,Private room,40,30,8,8/12/2017,0.09,14,312
178532,Luxury/Modern 2-story Condo,854264,Ron,,Inner Richmond,37.77556129,-122.4549796,Private room,140,1,114,8/10/2018,1.32,1,281
178740,Gorgeous Spacious Apartment in Unique Mansion,791253,Elizabeth,,Inner Richmond,37.77818014,-122.4542027,Entire home/apt,178,7,123,9/7/2018,1.42,3,78
180233,Private Spacious Studio No Dreamforce 30+days only,863303,Dana,,Castro/Upper Market,37.7565689,-122.4326267,Entire home/apt,100,30,18,8/1/2018,0.22,2,269
183334,2 bedroom Bernal Heights Condo - FABULOUS views!,18732,Cecilia,,Bernal Heights,37.74530647,-122.4112181,Entire home/apt,225,3,6,7/28/2017,0.07,2,0
183859,"Family-Friendly Flat In San Francisco, CA. USA",882283,Stephen,,Glen Park,37.73625672,-122.4367697,Entire home/apt,220,3,189,8/29/2018,2.47,1,286
187730,Bohemian Rhapsody in the Mission,142882,Jessica And Sebouh,,Mission,37.75756728,-122.4193947,Private room,75,3,88,8/14/2018,1.02,4,325
189068,Bernal Heights Live Like a Local,684131,Mary,,Bernal Heights,37.73856392,-122.4168711,Private room,90,2,153,8/31/2018,1.78,3,14
189894,SF  PRIME MARINA LOCATION RENTAL,916362,Jacqueline,,Marina,37.80317808,-122.4297737,Entire home/apt,150,5,28,5/1/2018,0.39,1,14
191632,Private Entrance Garden Studio,583207,Maria,,Haight Ashbury,37.77310912,-122.4497861,Entire home/apt,138,2,380,9/1/2018,4.42,1,201
